countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US53073,"Whatcom County, Washington",6940,36649,16726,34534,20117,20463
0500000US53077,"Yakima County, Washington",14449,42786,12572,17003,9510,50633
0500000US54003,"Berkeley County, West Virginia",7081,31278,6969,11741,7406,4801
0500000US54011,"Cabell County, West Virginia",5593,20535,4916,11129,6975,1619
0500000US54033,"Harrison County, West Virginia",3891,19096,4608,7690,4664,984
0500000US54039,"Kanawha County, West Virginia",9285,50478,9377,19531,14218,3394
0500000US54061,"Monongalia County, West Virginia",4407,15771,4861,13497,16424,5288
0500000US54081,"Raleigh County, West Virginia",3247,21463,3508,6175,4175,742
0500000US54107,"Wood County, West Virginia",4872,19740,6617,7628,4562,836
0500000US55009,"Brown County, Wisconsin",6563,53601,21426,38482,15388,16209
0500000US55025,"Dane County, Wisconsin",9662,60651,34327,116156,80842,49684
0500000US55027,"Dodge County, Wisconsin",4765,25052,7726,8599,2564,2441
0500000US55035,"Eau Claire County, Wisconsin",1787,17180,10234,13984,8022,3241
0500000US55039,"Fond du Lac County, Wisconsin",3842,26237,9078,11196,5974,2848
0500000US55055,"Jefferson County, Wisconsin",2568,20386,7345,11417,4632,2493
0500000US55059,"Kenosha County, Wisconsin",6409,33102,12168,20470,13446,8945
0500000US55063,"La Crosse County, Wisconsin",1939,20870,9977,17123,9798,3458
0500000US55071,"Manitowoc County, Wisconsin",2589,22273,6736,8382,4112,2918
0500000US55073,"Marathon County, Wisconsin",4938,33060,12134,16141,7219,6006
0500000US55079,"Milwaukee County, Wisconsin",41140,182195,52954,130418,69419,89815
0500000US55087,"Outagamie County, Wisconsin",5405,41131,15620,26934,11553,5216
0500000US55089,"Ozaukee County, Wisconsin",635,14486,6118,19222,11074,5301
0500000US55097,"Portage County, Wisconsin",1675,15431,4667,11395,4932,2640
0500000US55101,"Racine County, Wisconsin",11122,40845,14414,22880,12230,11125
0500000US55105,"Rock County, Wisconsin",6839,41390,12197,17198,8551,7906
0500000US55109,"St. Croix County, Wisconsin",2322,15195,8155,16641,7156,2010
0500000US55117,"Sheboygan County, Wisconsin",2806,28075,9131,16532,5963,7164
0500000US55127,"Walworth County, Wisconsin",4137,21733,5353,14250,7166,4403
0500000US55131,"Washington County, Wisconsin",4304,29361,11940,22446,7718,3220
0500000US55133,"Waukesha County, Wisconsin",6516,61336,27514,86569,45512,19216
0500000US55139,"Winnebago County, Wisconsin",6557,38072,11920,26168,10540,6701
0500000US55141,"Wood County, Wisconsin",3226,20546,6743,6671,3697,1266
0500000US56021,"Laramie County, Wyoming",2136,18995,7768,12038,8331,3385
0500000US56025,"Natrona County, Wyoming",3034,18647,6541,7628,3593,1500
0500000US72013,"Arecibo Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72021,"Bayamón Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72025,"Caguas Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72031,"Carolina Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72061,"Guaynabo Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72097,"Mayagüez Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72113,"Ponce Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72127,"San Juan Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72135,"Toa Alta Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72137,"Toa Baja Municipio, Puerto Rico",null,null,null,null,null,null
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",null,null,null,null,null,null
